EmployeeID,Name,Department,JoinDate,LastPromotionDate,Salary,PerformanceScore,Satisfaction,WorkHours,IsResigned,Join year,Satisfaction Group,tenure,IsResignedVal,Total Count
EMP_0001,Dewi Pratama,Operations,2021-01-31,,"7,475,220",2.4,4.1,10.4,Active,2021,5,c. < 3-5 Year,0,1
EMP_0002,Nia Pratama,Engineering,2019-01-19,,"10,533,731",3.5,4.0,9.8,Active,2019,4,d. > 5 Years,0,1
EMP_0003,Nia Lestari,Finance,2024-08-10,,"11,488,594",4.6,3.4,11.0,Active,2024,4,b. < 1-3 Years,0,1
EMP_0004,Eko Lestari,Customer Support,2021-10-10,,"9,067,902",3.1,3.1,11.2,Active,2021,4,c. < 3-5 Year,0,1
EMP_0005,Omar Santoso,Finance,2018-11-19,2022-11-25,"13,168,773",3.9,3.5,8.8,Active,2018,4,d. > 5 Years,0,1
EMP_0006,Hendra Kusuma,Engineering,2020-08-11,2023-03-27,"9,630,386",2.8,2.2,11.2,Resigned,2020,3,c. < 3-5 Year,1,1
EMP_0007,Indah Santoso,HR,2019-12-02,2021-10-13,"8,839,610",2.5,5.0,8.3,Active,2019,5,d. > 5 Years,0,1
EMP_0008,Hendra Permana,Customer Support,2018-08-18,,"8,550,593",2.1,3.1,9.0,Active,2018,4,d. > 5 Years,0,1
EMP_0009,Tono Permana,Sales,2023-08-07,2025-11-22,"8,558,232",3.4,5.0,7.7,Active,2023,5,b. < 1-3 Years,0,1
EMP_0010,Tono Hidayat,HR,2022-06-24,2023-09-30,"8,953,663",3.5,3.8,10.8,Active,2022,4,b. < 1-3 Years,0,1
EMP_0011,Fitri Hidayat,HR,2018-09-18,2022-07-19,"14,756,208",5.0,4.5,8.3,Active,2018,5,d. > 5 Years,0,1
EMP_0012,Dewi Kusuma,Customer Support,2021-10-25,,"9,646,047",3.3,5.0,7.0,Active,2021,5,c. < 3-5 Year,0,1
